City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Max Temp,Wind Speed,lng
179,olga,90,US,1554508435,55,34.11,66.99,11.41,-118.17
180,bathsheba,75,BB,1554505200,78,13.22,78.8,19.46,-59.52
181,huarmey,8,PE,1554508440,80,-10.07,67.98,2.93,-78.15
182,palu,32,ID,1554508442,81,-0.9,71.04,2.04,119.87
183,dingle,44,PH,1554508346,78,11.0,80.31,7.4,122.67
184,sur,76,OM,1554508178,76,22.57,82.11,5.39,59.53
185,koson,0,UZ,1554505200,87,39.04,57.2,4.7,65.59
186,dengzhou,0,CN,1554508444,90,32.69,59.34,7.29,112.08
187,xam nua,88,LA,1554508444,97,20.42,60.69,2.37,104.04
188,creemore,90,CA,1554508264,95,44.33,37.0,8.05,-80.11
189,grindavik,0,IS,1554507418,100,63.84,35.6,6.93,-22.43
190,yulara,0,AU,1554505200,27,-25.24,77.0,12.75,130.99
191,fare,92,PF,1554508448,99,-16.7,84.45,15.35,-151.02
192,lorengau,8,PG,1554508449,98,-2.02,83.28,1.7,147.27
193,coolum beach,80,AU,1554508387,86,-26.53,73.99,1.99,153.09
194,georgetown,20,GY,1554505200,78,6.8,80.6,9.17,-58.16
195,emba,0,CY,1554507033,87,34.81,57.2,6.93,32.42
196,mandalgovi,64,MN,1554508452,70,45.76,24.69,9.19,106.27
197,geraldton,90,CA,1554505200,74,49.72,35.6,5.82,-86.95
198,la ronge,40,CA,1554505200,58,55.1,32.0,4.7,-105.3
199,siguatepeque,40,HN,1554505080,27,14.6,89.6,9.17,-87.84
200,providencia,75,CO,1554505200,93,1.24,64.4,3.36,-77.6
201,zyryanka,36,RU,1554508456,81,65.73,19.38,3.04,150.89
202,caravelas,0,BR,1554508456,97,-17.73,82.65,15.46,-39.27
203,sfantu gheorghe,90,RO,1554508278,75,44.65,46.99,17.22,26.83
204,pushchino,75,RU,1554505200,80,54.83,35.6,4.47,37.61
205,yarmouth,0,GB,1554508458,66,50.71,50.0,6.93,-1.5
206,brooks,76,CA,1554507913,51,50.57,52.0,7.0,-111.89
207,mount isa,8,AU,1554507000,54,-20.73,80.6,12.75,139.49
208,san patricio,92,PY,1554508311,83,-26.98,64.83,6.4,-56.83
209,mlonggo,20,ID,1554505200,88,-6.53,77.0,2.24,110.7
210,ulaangom,12,MN,1554508464,72,49.98,31.08,6.51,92.07
211,pangai,20,TO,1554505200,74,-19.8,84.2,5.82,-174.35
212,viedma,0,AR,1554508471,31,-40.81,66.81,15.79,-62.99
213,bandarbeyla,0,SO,1554508474,100,9.49,78.96,2.59,50.81
